year_month,index_level,frequency,source,source_url,notes
1999-01,1134.67,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"SSE Composite (上证综合指数) monthly close, last trading day of each month; unadjusted (fqt=0); SSE opened Dec 1990 so data begins 1990-12; source: Eastmoney kline API secid=1.000001 klt=103"
1999-02,1090.08,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"SSE Composite (上证综合指数) monthly close, last trading day of each month; unadjusted (fqt=0); SSE opened Dec 1990 so data begins 1990-12; source: Eastmoney kline API secid=1.000001 klt=103"
1999-03,1158.05,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"SSE Composite (上证综合指数) monthly close, last trading day of each month; unadjusted (fqt=0); SSE opened Dec 1990 so data begins 1990-12; source: Eastmoney kline API secid=1.000001 klt=103"
1999-04,1120.92,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"SSE Composite (上证综合指数) monthly close, last trading day of each month; unadjusted (fqt=0); SSE opened Dec 1990 so data begins 1990-12; source: Eastmoney kline API secid=1.000001 klt=103"
1999-05,1279.32,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"SSE Composite (上证综合指数) monthly close, last trading day of each month; unadjusted (fqt=0); SSE opened Dec 1990 so data begins 1990-12; source: Eastmoney kline API secid=1.000001 klt=103"
1999-06,1689.42,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"SSE Composite (上证综合指数) monthly close, last trading day of each month; unadjusted (fqt=0); SSE opened Dec 1990 so data begins 1990-12; source: Eastmoney kline API secid=1.000001 klt=103"
1999-07,1601.45,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"SSE Composite (上证综合指数) monthly close, last trading day of each month; unadjusted (fqt=0); SSE opened Dec 1990 so data begins 1990-12; source: Eastmoney kline API secid=1.000001 klt=103"
1999-08,1627.11,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"SSE Composite (上证综合指数) monthly close, last trading day of each month; unadjusted (fqt=0); SSE opened Dec 1990 so data begins 1990-12; source: Eastmoney kline API secid=1.000001 klt=103"
1999-09,1570.70,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"SSE Composite (上证综合指数) monthly close, last trading day of each month; unadjusted (fqt=0); SSE opened Dec 1990 so data begins 1990-12; source: Eastmoney kline API secid=1.000001 klt=103"
1999-10,1504.56,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"SSE Composite (上证综合指数) monthly close, last trading day of each month; unadjusted (fqt=0); SSE opened Dec 1990 so data begins 1990-12; source: Eastmoney kline API secid=1.000001 klt=103"
1999-11,1434.97,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"SSE Composite (上证综合指数) monthly close, last trading day of each month; unadjusted (fqt=0); SSE opened Dec 1990 so data begins 1990-12; source: Eastmoney kline API secid=1.000001 klt=103"
1999-12,1366.58,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"SSE Composite (上证综合指数) monthly close, last trading day of each month; unadjusted (fqt=0); SSE opened Dec 1990 so data begins 1990-12; source: Eastmoney kline API secid=1.000001 klt=103"
