year_month,index_level,frequency,source,source_url,notes
1876-04,4.340,monthly,DataHub / Robert Shiller S&P Composite,https://raw.githubusercontent.com/datasets/s-and-p-500/main/data/data.csv,"S&P Composite price-return index, beginning-of-month observation (Robert Shiller / DataHub); pre-1926 uses Cowles Commission stock-price index extended to 1871; dividends excluded (not total-return)"
1876-05,4.180,monthly,DataHub / Robert Shiller S&P Composite,https://raw.githubusercontent.com/datasets/s-and-p-500/main/data/data.csv,"S&P Composite price-return index, beginning-of-month observation (Robert Shiller / DataHub); pre-1926 uses Cowles Commission stock-price index extended to 1871; dividends excluded (not total-return)"
1876-06,4.150,monthly,DataHub / Robert Shiller S&P Composite,https://raw.githubusercontent.com/datasets/s-and-p-500/main/data/data.csv,"S&P Composite price-return index, beginning-of-month observation (Robert Shiller / DataHub); pre-1926 uses Cowles Commission stock-price index extended to 1871; dividends excluded (not total-return)"
1876-07,4.100,monthly,DataHub / Robert Shiller S&P Composite,https://raw.githubusercontent.com/datasets/s-and-p-500/main/data/data.csv,"S&P Composite price-return index, beginning-of-month observation (Robert Shiller / DataHub); pre-1926 uses Cowles Commission stock-price index extended to 1871; dividends excluded (not total-return)"
1876-08,3.930,monthly,DataHub / Robert Shiller S&P Composite,https://raw.githubusercontent.com/datasets/s-and-p-500/main/data/data.csv,"S&P Composite price-return index, beginning-of-month observation (Robert Shiller / DataHub); pre-1926 uses Cowles Commission stock-price index extended to 1871; dividends excluded (not total-return)"
1876-09,3.690,monthly,DataHub / Robert Shiller S&P Composite,https://raw.githubusercontent.com/datasets/s-and-p-500/main/data/data.csv,"S&P Composite price-return index, beginning-of-month observation (Robert Shiller / DataHub); pre-1926 uses Cowles Commission stock-price index extended to 1871; dividends excluded (not total-return)"
1876-10,3.670,monthly,DataHub / Robert Shiller S&P Composite,https://raw.githubusercontent.com/datasets/s-and-p-500/main/data/data.csv,"S&P Composite price-return index, beginning-of-month observation (Robert Shiller / DataHub); pre-1926 uses Cowles Commission stock-price index extended to 1871; dividends excluded (not total-return)"
1876-11,3.600,monthly,DataHub / Robert Shiller S&P Composite,https://raw.githubusercontent.com/datasets/s-and-p-500/main/data/data.csv,"S&P Composite price-return index, beginning-of-month observation (Robert Shiller / DataHub); pre-1926 uses Cowles Commission stock-price index extended to 1871; dividends excluded (not total-return)"
1876-12,3.580,monthly,DataHub / Robert Shiller S&P Composite,https://raw.githubusercontent.com/datasets/s-and-p-500/main/data/data.csv,"S&P Composite price-return index, beginning-of-month observation (Robert Shiller / DataHub); pre-1926 uses Cowles Commission stock-price index extended to 1871; dividends excluded (not total-return)"
1877-01,3.550,monthly,DataHub / Robert Shiller S&P Composite,https://raw.githubusercontent.com/datasets/s-and-p-500/main/data/data.csv,"S&P Composite price-return index, beginning-of-month observation (Robert Shiller / DataHub); pre-1926 uses Cowles Commission stock-price index extended to 1871; dividends excluded (not total-return)"
1877-02,3.340,monthly,DataHub / Robert Shiller S&P Composite,https://raw.githubusercontent.com/datasets/s-and-p-500/main/data/data.csv,"S&P Composite price-return index, beginning-of-month observation (Robert Shiller / DataHub); pre-1926 uses Cowles Commission stock-price index extended to 1871; dividends excluded (not total-return)"
1877-03,3.170,monthly,DataHub / Robert Shiller S&P Composite,https://raw.githubusercontent.com/datasets/s-and-p-500/main/data/data.csv,"S&P Composite price-return index, beginning-of-month observation (Robert Shiller / DataHub); pre-1926 uses Cowles Commission stock-price index extended to 1871; dividends excluded (not total-return)"
1877-04,2.940,monthly,DataHub / Robert Shiller S&P Composite,https://raw.githubusercontent.com/datasets/s-and-p-500/main/data/data.csv,"S&P Composite price-return index, beginning-of-month observation (Robert Shiller / DataHub); pre-1926 uses Cowles Commission stock-price index extended to 1871; dividends excluded (not total-return)"
1877-05,2.940,monthly,DataHub / Robert Shiller S&P Composite,https://raw.githubusercontent.com/datasets/s-and-p-500/main/data/data.csv,"S&P Composite price-return index, beginning-of-month observation (Robert Shiller / DataHub); pre-1926 uses Cowles Commission stock-price index extended to 1871; dividends excluded (not total-return)"
1877-06,2.730,monthly,DataHub / Robert Shiller S&P Composite,https://raw.githubusercontent.com/datasets/s-and-p-500/main/data/data.csv,"S&P Composite price-return index, beginning-of-month observation (Robert Shiller / DataHub); pre-1926 uses Cowles Commission stock-price index extended to 1871; dividends excluded (not total-return)"
1877-07,2.850,monthly,DataHub / Robert Shiller S&P Composite,https://raw.githubusercontent.com/datasets/s-and-p-500/main/data/data.csv,"S&P Composite price-return index, beginning-of-month observation (Robert Shiller / DataHub); pre-1926 uses Cowles Commission stock-price index extended to 1871; dividends excluded (not total-return)"
1877-08,3.050,monthly,DataHub / Robert Shiller S&P Composite,https://raw.githubusercontent.com/datasets/s-and-p-500/main/data/data.csv,"S&P Composite price-return index, beginning-of-month observation (Robert Shiller / DataHub); pre-1926 uses Cowles Commission stock-price index extended to 1871; dividends excluded (not total-return)"
1877-09,3.240,monthly,DataHub / Robert Shiller S&P Composite,https://raw.githubusercontent.com/datasets/s-and-p-500/main/data/data.csv,"S&P Composite price-return index, beginning-of-month observation (Robert Shiller / DataHub); pre-1926 uses Cowles Commission stock-price index extended to 1871; dividends excluded (not total-return)"
1877-10,3.310,monthly,DataHub / Robert Shiller S&P Composite,https://raw.githubusercontent.com/datasets/s-and-p-500/main/data/data.csv,"S&P Composite price-return index, beginning-of-month observation (Robert Shiller / DataHub); pre-1926 uses Cowles Commission stock-price index extended to 1871; dividends excluded (not total-return)"
1877-11,3.260,monthly,DataHub / Robert Shiller S&P Composite,https://raw.githubusercontent.com/datasets/s-and-p-500/main/data/data.csv,"S&P Composite price-return index, beginning-of-month observation (Robert Shiller / DataHub); pre-1926 uses Cowles Commission stock-price index extended to 1871; dividends excluded (not total-return)"
1877-12,3.250,monthly,DataHub / Robert Shiller S&P Composite,https://raw.githubusercontent.com/datasets/s-and-p-500/main/data/data.csv,"S&P Composite price-return index, beginning-of-month observation (Robert Shiller / DataHub); pre-1926 uses Cowles Commission stock-price index extended to 1871; dividends excluded (not total-return)"
1878-01,3.250,monthly,DataHub / Robert Shiller S&P Composite,https://raw.githubusercontent.com/datasets/s-and-p-500/main/data/data.csv,"S&P Composite price-return index, beginning-of-month observation (Robert Shiller / DataHub); pre-1926 uses Cowles Commission stock-price index extended to 1871; dividends excluded (not total-return)"
1878-02,3.180,monthly,DataHub / Robert Shiller S&P Composite,https://raw.githubusercontent.com/datasets/s-and-p-500/main/data/data.csv,"S&P Composite price-return index, beginning-of-month observation (Robert Shiller / DataHub); pre-1926 uses Cowles Commission stock-price index extended to 1871; dividends excluded (not total-return)"
1878-03,3.240,monthly,DataHub / Robert Shiller S&P Composite,https://raw.githubusercontent.com/datasets/s-and-p-500/main/data/data.csv,"S&P Composite price-return index, beginning-of-month observation (Robert Shiller / DataHub); pre-1926 uses Cowles Commission stock-price index extended to 1871; dividends excluded (not total-return)"
1878-04,3.330,monthly,DataHub / Robert Shiller S&P Composite,https://raw.githubusercontent.com/datasets/s-and-p-500/main/data/data.csv,"S&P Composite price-return index, beginning-of-month observation (Robert Shiller / DataHub); pre-1926 uses Cowles Commission stock-price index extended to 1871; dividends excluded (not total-return)"
1878-05,3.340,monthly,DataHub / Robert Shiller S&P Composite,https://raw.githubusercontent.com/datasets/s-and-p-500/main/data/data.csv,"S&P Composite price-return index, beginning-of-month observation (Robert Shiller / DataHub); pre-1926 uses Cowles Commission stock-price index extended to 1871; dividends excluded (not total-return)"
1878-06,3.410,monthly,DataHub / Robert Shiller S&P Composite,https://raw.githubusercontent.com/datasets/s-and-p-500/main/data/data.csv,"S&P Composite price-return index, beginning-of-month observation (Robert Shiller / DataHub); pre-1926 uses Cowles Commission stock-price index extended to 1871; dividends excluded (not total-return)"
1878-07,3.480,monthly,DataHub / Robert Shiller S&P Composite,https://raw.githubusercontent.com/datasets/s-and-p-500/main/data/data.csv,"S&P Composite price-return index, beginning-of-month observation (Robert Shiller / DataHub); pre-1926 uses Cowles Commission stock-price index extended to 1871; dividends excluded (not total-return)"
1878-08,3.450,monthly,DataHub / Robert Shiller S&P Composite,https://raw.githubusercontent.com/datasets/s-and-p-500/main/data/data.csv,"S&P Composite price-return index, beginning-of-month observation (Robert Shiller / DataHub); pre-1926 uses Cowles Commission stock-price index extended to 1871; dividends excluded (not total-return)"
1878-09,3.520,monthly,DataHub / Robert Shiller S&P Composite,https://raw.githubusercontent.com/datasets/s-and-p-500/main/data/data.csv,"S&P Composite price-return index, beginning-of-month observation (Robert Shiller / DataHub); pre-1926 uses Cowles Commission stock-price index extended to 1871; dividends excluded (not total-return)"
1878-10,3.480,monthly,DataHub / Robert Shiller S&P Composite,https://raw.githubusercontent.com/datasets/s-and-p-500/main/data/data.csv,"S&P Composite price-return index, beginning-of-month observation (Robert Shiller / DataHub); pre-1926 uses Cowles Commission stock-price index extended to 1871; dividends excluded (not total-return)"
1878-11,3.470,monthly,DataHub / Robert Shiller S&P Composite,https://raw.githubusercontent.com/datasets/s-and-p-500/main/data/data.csv,"S&P Composite price-return index, beginning-of-month observation (Robert Shiller / DataHub); pre-1926 uses Cowles Commission stock-price index extended to 1871; dividends excluded (not total-return)"
1878-12,3.450,monthly,DataHub / Robert Shiller S&P Composite,https://raw.githubusercontent.com/datasets/s-and-p-500/main/data/data.csv,"S&P Composite price-return index, beginning-of-month observation (Robert Shiller / DataHub); pre-1926 uses Cowles Commission stock-price index extended to 1871; dividends excluded (not total-return)"
1879-01,3.580,monthly,DataHub / Robert Shiller S&P Composite,https://raw.githubusercontent.com/datasets/s-and-p-500/main/data/data.csv,"S&P Composite price-return index, beginning-of-month observation (Robert Shiller / DataHub); pre-1926 uses Cowles Commission stock-price index extended to 1871; dividends excluded (not total-return)"
